area1,area2,area3,district,floor,total_floors,building_type,year,price,rooms_count,new_build
69.2,40.7,8.0,Другой,3,3,монолитный железобетон,2024,4550000,3.0,1
44.0,30.0,6.0,Автозаводский район,4,4,кирпич,1961,4900000,2.0,0
32.0,18.1,6.8,Советский район,1,3,кирпич,1958,4000000,2.0,0
45.0,31.2,6.0,Канавинский район,2,5,кирпич,1972,4300000,2.0,0
30.8,18.1,5.8,Канавинский район,2,5,кирпич,1965,4200000,1.0,0
48.0,26.0,9.0,Московский район,5,10,панель,2016,7150000,2.0,0
28.0,19.0,5.0,Приокский район,1,3,кирпич,1959,2900000,1.0,0
12.7,8.0,1.0,Автозаводский район,1,9,панель,1978,2315000,0.5,0
27.6,22.1,2.5,Другой,9,23,панель,2021,4330000,1.0,0
44.8,30.2,6.0,Нижегородский район,1,5,кирпич,1971,6500000,2.0,0
59.1,46.3,5.6,Автозаводский район,5,5,панель,1963,6150000,3.0,0
39.4,29.3,4.5,Сормовский район,2,2,шлакоблок,1959,3099000,2.0,0
74.5,51.9,8.3,Приокский район,1,9,кирпич,1986,7700000,4.0,0
83.0,55.0,9.0,Автозаводский район,3,5,кирпич,1958,9300000,3.0,0
32.0,24.0,5.0,Советский район,1,2,кирпич,1958,4199999,2.0,0
29.8,14.0,7.0,Другой,1,3,панель,1991,3100000,1.0,0
29.8,16.0,10.0,Другой,3,3,панель,1991,3450000,1.0,0
47.5,24.0,9.6,Автозаводский район,5,10,панель,2019,6990000,2.0,0
37.0,26.0,5.0,Автозаводский район,2,2,шлакоблок,1959,3750000,2.0,0
23.4,15.0,3.0,Сормовский район,2,2,шлакоблок,1951,2200000,1.0,0
44.0,32.0,5.0,Московский район,2,3,кирпич,1959,4800000,2.0,0
41.0,19.8,11.7,Советский район,7,26,панель,2017,6400000,1.0,0
33.0,17.1,9.0,Приокский район,6,9,кирпич,1970,5700000,1.0,0
52.0,38.0,6.0,Канавинский район,2,2,кирпич,1947,4200000,3.0,0
37.0,25.0,5.0,Автозаводский район,2,2,шлакоблок,1958,3530000,2.0,0
31.9,16.3,8.4,Автозаводский район,2,10,панель,2015,4700000,1.0,0
57.4,36.6,7.0,Приокский район,9,9,панель,1991,6690000,3.0,0
30.6,15.8,8.3,Сормовский район,9,10,панель,2018,4200000,1.0,0
29.2,17.4,6.0,Московский район,5,5,кирпич,1958,4900000,1.0,0
20.8,11.7,4.7,Московский район,2,9,кирпич,1981,3700000,1.0,0
34.6,17.3,8.7,Автозаводский район,1,9,кирпич,1987,4000000,1.0,0
42.6,28.1,5.4,Ленинский район,2,5,панель,1967,6000000,2.0,0
50.8,16.3,14.4,Советский район,17,22,блок+утеплитель,2023,9200000,1.0,0
30.5,20.9,4.9,Канавинский район,3,5,кирпич,1961,4600000,2.0,0
54.2,36.4,9.9,Автозаводский район,5,10,блок+утеплитель,2017,8500000,2.0,0
32.1,16.8,8.0,Канавинский район,9,9,панель,1986,4500000,1.0,0
76.0,46.3,14.4,Другой,5,9,кирпич,2017,9790000,3.0,0
19.0,12.0,1.0,Нижегородский район,4,5,кирпич,1971,3850000,0.5,0
45.8,30.3,6.0,Автозаводский район,2,5,панель,1964,4300000,2.0,0
43.1,29.0,6.2,Канавинский район,2,4,кирпич,1963,4300000,2.0,0
46.6,35.7,7.0,Советский район,1,3,кирпич,1960,4400000,3.0,0
36.3,13.0,12.0,Нижегородский район,1,9,блок+утеплитель,2022,7150000,1.0,0
42.2,21.5,8.3,Автозаводский район,8,10,блок+утеплитель,2017,7550000,2.0,0
51.0,34.0,6.0,Автозаводский район,2,5,панель,1975,5650000,2.0,0
34.8,15.2,8.1,Ленинский район,1,10,панель,1994,4950000,1.0,0
45.1,18.0,10.0,Сормовский район,2,10,панель,2018,5300000,1.0,0
47.6,22.0,14.0,Советский район,10,10,кирпич,2006,8500000,1.0,0
27.5,12.6,0.0,Автозаводский район,1,8,блок+утеплитель,2026,4675000,0.5,1
66.3,38.2,9.3,Канавинский район,3,9,панель,1985,8000000,3.0,0
50.7,35.4,6.0,Московский район,3,5,кирпич,1974,5600000,3.0,0
57.2,36.8,7.0,Сормовский район,5,9,панель,1987,6400000,3.0,0
31.8,19.0,5.5,Ленинский район,2,5,панель,1967,3990000,1.0,0
45.8,32.1,5.7,Сормовский район,3,4,кирпич,1962,5500000,2.0,0
25.4,15.4,1.0,Советский район,3,10,блок+утеплитель,2023,4799000,0.5,0
63.0,39.0,8.0,Ленинский район,6,9,панель,1983,7500000,3.0,0
54.8,36.2,5.9,Московский район,1,5,кирпич,1964,5800000,3.0,0
57.4,30.55,11.4,Канавинский район,6,9,панель,2023,6700000,2.0,0
29.2,11.1,0.0,Автозаводский район,1,8,блок+утеплитель,2026,4905600,0.5,1
61.0,29.1,11.3,Советский район,2,12,панель,2012,8700000,2.0,0
43.0,31.0,7.0,Автозаводский район,2,9,панель,1989,6000000,2.0,0
43.7,21.8,11.8,Сормовский район,13,17,панель,2018,5400000,2.0,0
32.0,22.0,5.0,Советский район,2,2,кирпич,1959,3990000,1.0,0
33.2,17.1,8.1,Нижегородский район,7,9,панель,1987,6300000,1.0,0
33.0,14.8,8.8,Другой,1,5,кирпич,1986,2800000,1.0,0
44.0,24.0,8.7,Московский район,6,9,кирпич,1986,4700000,2.0,0
35.4,16.8,7.0,Автозаводский район,4,9,панель,1975,4990000,1.0,0
49.2,29.6,6.3,Московский район,4,5,кирпич,1973,4950000,2.0,0
24.72,14.47,0.0,Советский район,5,17,блок+утеплитель,2025,5660000,0.5,1
52.6,36.4,7.0,Нижегородский район,6,9,панель,1971,7650000,3.0,0
20.7,11.21,4.85,Московский район,8,9,кирпич,1975,3400000,1.0,0
20.5,11.2,4.9,Приокский район,9,9,кирпич,1975,3090000,1.0,0
43.9,28.2,5.4,Автозаводский район,3,5,кирпич,1959,5250000,2.0,0
30.8,18.9,5.6,Ленинский район,2,5,кирпич,1965,4300000,1.0,0
48.2,28.7,8.0,Советский район,3,10,кирпич,1991,7500000,2.0,0
20.0,14.0,1.0,Ленинский район,2,2,кирпич,1952,2050000,0.5,0
45.6,27.1,7.7,Автозаводский район,8,9,кирпич,1991,6000000,2.0,0
31.0,18.2,6.1,Приокский район,3,5,кирпич,1969,4999000,1.0,0
62.3,37.4,7.7,Автозаводский район,2,9,панель,1987,5800000,3.0,0
65.1,38.0,9.3,Советский район,1,9,панель,1988,6950000,3.0,0
31.3,18.3,5.6,Московский район,1,5,панель,1962,3100000,1.0,0
38.0,22.3,5.8,Нижегородский район,8,9,панель,1980,6000000,2.0,0
61.0,35.0,7.0,Приокский район,1,6,кирпич,1939,7350000,3.0,0
44.0,28.4,5.7,Нижегородский район,5,5,кирпич,1974,5750000,2.0,0
45.2,20.32,13.31,Советский район,16,17,блок+утеплитель,2025,8710000,1.0,1
46.3,18.2,12.0,Нижегородский район,2,10,кирпич,2007,7250000,1.0,0
49.7,27.8,8.3,Сормовский район,2,9,кирпич,1993,5890000,2.0,0
45.1,31.0,6.0,Автозаводский район,5,5,кирпич,1972,4300000,2.0,0
46.6,33.1,6.0,Автозаводский район,3,5,панель,1967,5300000,2.0,0
41.9,11.7,1.0,Автозаводский район,4,8,блок+утеплитель,2026,6997300,1.0,1
70.5,42.0,14.4,Автозаводский район,1,10,панель,2010,8500000,3.0,0
50.49,22.28,15.16,Советский район,11,17,блок+утеплитель,2025,8560000,1.0,1
32.1,16.4,8.5,Автозаводский район,9,10,панель,2020,5300000,1.0,0
31.3,16.0,9.0,Автозаводский район,2,10,блок+утеплитель,2011,4700000,1.0,0
34.1,16.2,7.8,Ленинский район,4,23,блок+утеплитель,2018,6500000,1.0,0
55.7,32.2,8.5,Приокский район,3,5,кирпич,1958,6900000,2.0,0
36.0,18.0,9.0,Автозаводский район,9,9,кирпич,1986,4300000,1.0,0
33.0,20.0,6.0,Автозаводский район,3,5,панель,1963,4300000,1.0,0
37.0,18.6,9.3,Другой,8,9,панель,1991,5200000,1.0,0
46.6,13.3,1.0,Автозаводский район,5,8,блок+утеплитель,2026,7782200,1.0,1
85.5,55.3,9.1,Автозаводский район,5,9,панель,1982,9450000,4.0,0
40.7,21.5,9.8,Нижегородский район,11,17,блок+утеплитель,2010,7150000,1.0,0
42.6,30.0,5.2,Московский район,6,6,кирпич,1966,3750000,2.0,0
